fixture,league,market,market_display,model_prob,entry_odds,bookmaker,match_date,leg_id,ft_result,hit,status,closing_odds,clv_pct,clv_source,primary_source,f2_sources,f2_agreed
Osasuna v Getafe (La Liga),La Liga,1X2_HOME,Home Win,0.4162353944982511,0,Bet365,2026-08-31,Osasuna_v_Getafe_La_Liga_1X2_HOME_2026-08-31,NO DATA,False,NO DATA — PENDING,,,,football-data.co.uk (no data),,False
Osasuna v Getafe (La Liga),La Liga,1X2_DRAW,Draw,0.3433673085510861,0,Bet365,2026-08-31,Osasuna_v_Getafe_La_Liga_1X2_DRAW_2026-08-31,NO DATA,False,NO DATA — PENDING,,,,football-data.co.uk (no data),,False
Osasuna v Getafe (La Liga),La Liga,1X2_AWAY,Away Win,0.2403972969506627,0,Bet365,2026-08-31,Osasuna_v_Getafe_La_Liga_1X2_AWAY_2026-08-31,NO DATA,False,NO DATA — PENDING,,,,football-data.co.uk (no data),,False
Osasuna v Getafe (La Liga),La Liga,OVER_1_5,Over 1.5,0.49267304717913907,0,Bet365,2026-08-31,Osasuna_v_Getafe_La_Liga_OVER_1_5_2026-08-31,NO DATA,False,NO DATA — PENDING,,,,football-data.co.uk (no data),,False
Osasuna v Getafe (La Liga),La Liga,OVER_2_5,Over 2.5,0.2296959268589721,0,Bet365,2026-08-31,Osasuna_v_Getafe_La_Liga_OVER_2_5_2026-08-31,NO DATA,False,NO DATA — PENDING,,,,football-data.co.uk (no data),,False
Osasuna v Getafe (La Liga),La Liga,OVER_3_5,Over 3.5,0.08588530348499403,0,Bet365,2026-08-31,Osasuna_v_Getafe_La_Liga_OVER_3_5_2026-08-31,NO DATA,False,NO DATA — PENDING,,,,football-data.co.uk (no data),,False
Osasuna v Getafe (La Liga),La Liga,BTTS_YES,BTTS Yes,0.30644776467200274,0,Bet365,2026-08-31,Osasuna_v_Getafe_La_Liga_BTTS_YES_2026-08-31,NO DATA,False,NO DATA — PENDING,,,,football-data.co.uk (no data),,False
Osasuna v Getafe (La Liga),La Liga,BTTS_NO,BTTS No,0.6935522353279973,1.53,Bet365,2026-08-31,Osasuna_v_Getafe_La_Liga_BTTS_NO_2026-08-31,NO DATA,False,NO DATA — PENDING,,,,football-data.co.uk (no data),,False
Barcelona v Rayo Vallecano (La Liga),La Liga,1X2_HOME,Home Win,0.7560284276084965,0,Bet365,2026-08-31,Barcelona_v_Rayo_Vallecano_La_Liga_1X2_HOME_2026-08-31,NO DATA,False,NO DATA — PENDING,,,,football-data.co.uk (no data),,False
Barcelona v Rayo Vallecano (La Liga),La Liga,1X2_DRAW,Draw,0.1993807505578227,0,Bet365,2026-08-31,Barcelona_v_Rayo_Vallecano_La_Liga_1X2_DRAW_2026-08-31,NO DATA,False,NO DATA — PENDING,,,,football-data.co.uk (no data),,False
